sa3_name16,sa3_code16,m_y12_equivalent_indigenous,m_y12_equivalent_non_indig,m_y12_equiv_indigstat_ns,m_y12_equivalent_tot,m_y11_equivalent_indigenous,m_y11_equiv_non_indig,m_y11_equiv_indigstat_ns,m_y11_equivalent_tot,m_y10_equivalent_indigenous,m_y10_equiv_non_indig,m_y10_equiv_indigstat_ns,m_y10_equivalent_tot,m_y9_equivalent_indigenous,m_y9_equiv_non_indig,m_y9_equiv_indigstat_ns,m_y9_equivalent_tot,m_y8_below_indigenous,m_y8_below_non_indig,m_y8_below_indigstat_ns,m_y8_below_tot,m_did_not_go_to_school_indig,m_did_not_go_to_sch_non_indig,m_di_no_go_to_sch_indst_ns,m_did_not_go_to_school_tot,m_highest_yr_school_ns_indig,m_highest_yr_sch_ns_non_indig,m_highe_yr_sch_ns_indst_ns,m_highest_yr_school_ns_tot,m_tot_indigenous,m_tot_non_indigenous,m_tot_indigstat_ns,m_tot_tot,f_y12_equivalent_indigenous,f_y12_equivalent_non_indig,f_y12_equiv_indigstat_ns,f_y12_equivalent_tot,f_y11_equivalent_indigenous,f_y11_equiv_non_indig,f_y11_equiv_indigstat_ns,f_y11_equivalent_tot,f_y10_equivalent_indigenous,f_y10_equiv_non_indig,f_y10_equiv_indigstat_ns,f_y10_equivalent_tot,f_y9_equivalent_indigenous,f_y9_equiv_non_indig,f_y9_equiv_indigstat_ns,f_y9_equivalent_tot,f_y8_below_indigenous,f_y8_below_non_indig,f_y8_below_indigstat_ns,f_y8_below_tot,f_did_not_go_to_school_indig,f_did_not_go_to_sch_non_indig,f_di_no_go_to_sch_indst_ns,f_did_not_go_to_school_tot,f_highest_yr_school_ns_indig,f_highest_yr_sch_ns_non_indig,f_highe_yr_sch_ns_indst_ns,f_highest_yr_school_ns_tot,f_tot_indigenous,f_tot_non_indigenous,f_tot_indigstat_ns,f_tot_tot,p_y12_equivalent_indigenous,p_y12_equivalent_non_indig,p_y12_equiv_indigstat_ns,p_y12_equivalent_tot,p_y11_equivalent_indigenous,p_y11_equiv_non_indig,p_y11_equiv_indigstat_ns,p_y11_equivalent_tot,p_y10_equivalent_indigenous,p_y10_equiv_non_indig,p_y10_equiv_indigstat_ns,p_y10_equivalent_tot,p_y9_equivalent_indigenous,p_y9_equiv_non_indig,p_y9_equiv_indigstat_ns,p_y9_equivalent_tot,p_y8_below_indigenous,p_y8_below_non_indig,p_y8_below_indigstat_ns,p_y8_below_tot,p_did_not_go_to_school_indig,p_did_not_go_to_sch_non_indig,p_di_no_go_to_sch_indst_ns,p_did_not_go_to_school_tot,p_highest_yr_school_ns_indig,p_highest_yr_sch_ns_non_indig,p_highe_yr_sch_ns_indst_ns,p_highest_yr_school_ns_tot,p_tot_indigenous,p_tot_non_indigenous,p_tot_indigstat_ns,p_tot_tot
Brisbane Inner - East,30502,112,11377,35,11526,14,728,3,744,29,1589,8,1626,3,215,0,222,9,272,3,281,0,34,0,34,4,220,978,1206,174,14433,1030,15636,124,12123,29,12273,17,627,4,645,27,1714,8,1752,9,212,3,226,15,358,4,380,3,46,0,47,11,213,988,1207,203,15299,1039,16533,232,23499,63,23798,28,1354,4,1385,58,3304,18,3377,11,431,3,442,27,632,6,664,3,80,0,84,16,432,1965,2416,375,29727,2070,32168
Innisfail - Cassowary Coast,30603,489,4094,54,4637,205,1028,13,1247,535,3430,41,4003,168,764,8,945,146,1047,16,1209,17,72,3,87,85,425,1183,1689,1629,10856,1327,13817,533,4517,65,5109,268,816,18,1100,537,3058,38,3638,166,486,8,660,146,894,20,1056,17,85,5,103,105,393,1006,1504,1762,10249,1153,13166,1014,8615,115,9748,471,1842,34,2349,1068,6492,83,7644,329,1256,17,1602,289,1932,40,2262,33,155,8,195,188,815,2189,3193,3394,21106,2483,26981
Port Douglas - Daintree,30604,83,1975,10,2073,29,397,3,436,75,1005,17,1099,23,183,7,214,30,165,8,197,3,4,3,8,29,123,567,723,273,3861,617,4745,99,2179,17,2291,35,396,3,430,79,772,15,866,18,139,3,161,27,115,4,142,0,3,0,4,31,146,626,801,298,3738,667,4703,182,4155,25,4364,66,793,9,867,157,1775,30,1965,47,315,6,373,51,276,9,342,3,9,3,20,64,273,1195,1529,565,7601,1277,9447
Tablelands (East) - Kuranda,30605,288,5430,58,5775,118,1006,8,1134,275,3890,55,4227,104,828,4,934,125,1177,22,1324,6,76,0,83,107,551,1331,1996,1036,12960,1480,15472,315,6277,59,6653,125,969,8,1105,355,3951,55,4361,119,647,10,781,125,1048,27,1195,14,91,0,107,116,597,1314,2021,1172,13571,1476,16217,605,11703,117,12425,242,1975,24,2235,631,7838,114,8588,224,1472,18,1718,248,2225,42,2513,22,163,3,187,225,1147,2647,4016,2204,26526,2955,31689
Darling Downs (West) - Maranoa,30701,192,5379,60,5637,61,1008,8,1073,302,4661,48,5013,85,960,17,1056,136,1418,29,1583,10,82,3,93,46,550,1974,2569,840,14060,2130,17033,291,6769,59,7117,105,875,3,988,297,3708,42,4042,98,584,12,694,113,1044,21,1178,10,58,0,66,40,511,1712,2263,949,13553,1849,16351,484,12153,117,12756,171,1889,14,2070,596,8374,87,9057,184,1544,29,1754,245,2467,45,2759,25,138,4,164,82,1064,3683,4828,1788,27616,3980,33381
Darling Downs - East,30702,141,5046,42,5225,41,917,10,966,190,4946,40,5168,46,1073,11,1131,67,1603,26,1700,9,56,5,72,30,516,1275,1819,531,14146,1400,16086,202,6199,42,6447,62,936,10,1016,178,4249,35,4466,62,733,16,814,47,1260,17,1323,6,35,0,44,27,569,1162,1756,590,13978,1279,15852,348,11244,80,11675,103,1853,20,1981,366,9194,73,9638,111,1806,27,1936,122,2860,47,3022,15,94,5,110,60,1080,2435,3576,1128,28131,2685,31938
Granite Belt,30703,136,5097,43,5269,48,989,9,1044,110,4606,66,4776,48,1003,12,1062,58,1373,31,1462,3,51,0,54,29,555,908,1499,422,13670,1073,15167,157,6177,60,6390,53,952,9,1015,145,4671,64,4877,59,836,14,911,48,1178,28,1259,7,58,3,66,28,608,872,1509,496,14482,1047,16028,290,11272,98,11663,100,1939,16,2064,263,9271,126,9654,105,1845,29,1975,103,2554,60,2714,12,110,3,122,56,1168,1781,3002,926,28156,2118,31192
Central Highlands (Qld),30801,166,3984,37,4185,73,798,3,872,212,2800,25,3037,62,492,0,557,55,501,12,575,11,32,0,43,44,243,1503,1790,626,8859,1580,11060,186,4543,42,4768,77,661,6,750,203,2061,23,2287,54,290,3,347,51,303,3,353,4,23,0,23,37,226,1065,1331,612,8100,1147,9860,352,8530,71,8956,150,1459,13,1624,415,4860,47,5323,118,784,4,900,109,805,17,927,16,58,0,69,81,465,2573,3122,1241,16958,2726,20923
Rockhampton,30803,715,16368,113,17192,195,2877,18,3095,543,11402,119,12063,171,2300,26,2498,155,3142,34,3336,21,198,0,218,299,1555,3652,5502,2105,37838,3961,43902,875,18950,124,19954,238,2650,29,2909,600,11297,121,12020,143,1936,22,2102,152,2897,39,3087,22,127,3,150,114,1406,2949,4470,2144,39265,3292,44693,1593,35315,242,37150,433,5522,45,6007,1147,22703,240,24086,312,4233,51,4600,307,6040,71,6419,41,321,3,365,413,2962,6601,9980,4247,77103,7254,88598
Biloela,30804,54,1840,10,1903,17,403,5,422,38,1641,17,1699,20,308,0,330,21,552,8,584,0,35,0,37,16,148,453,614,168,4928,492,5587,72,2221,19,2315,18,330,9,354,49,1273,13,1337,18,217,9,243,16,401,5,419,0,14,0,18,10,123,381,517,185,4586,429,5202,130,4067,26,4222,37,734,13,781,90,2918,33,3039,39,528,6,572,35,950,12,1003,3,54,0,56,23,267,833,1127,353,9514,927,10797
Gladstone,30805,257,9222,40,9525,80,2223,25,2321,218,6644,46,6913,70,1209,10,1291,46,1079,7,1135,3,66,0,68,20,505,1748,2274,701,20948,1885,23535,298,9997,57,10354,72,1796,15,1883,244,5574,53,5880,60,896,7,971,39,945,19,1004,0,43,0,44,28,475,1533,2032,747,19736,1682,22166,560,19221,98,19880,151,4022,39,4207,465,12220,103,12789,131,2106,18,2261,89,2031,28,2142,5,106,0,114,49,982,3278,4307,1447,40687,3568,45701
Broadbeach - Burleigh,30901,119,13490,65,13673,24,1859,14,1905,76,4722,25,4828,12,872,3,888,10,679,5,688,5,65,0,71,5,539,1843,2390,247,22232,1956,24440,137,14590,72,14803,17,1834,20,1865,66,5291,40,5395,11,933,9,953,14,858,18,891,5,99,0,106,3,687,1926,2619,247,24294,2077,26620,259,28079,134,28472,39,3696,35,3768,140,10017,60,10220,20,1804,13,1840,20,1536,25,1578,6,166,0,181,13,1224,3767,5007,497,46523,4032,51057
Coolangatta,30902,156,9780,52,9992,33,1563,11,1612,122,5041,30,5190,34,967,13,1014,17,662,7,691,3,56,0,57,19,446,1427,1890,383,18514,1554,20446,162,10911,68,11146,38,1537,15,1586,116,5522,39,5682,22,1028,12,1065,18,802,12,839,3,36,0,44,20,566,1476,2062,385,20405,1630,22416,319,20692,124,21135,71,3099,27,3196,234,10562,77,10875,55,1994,27,2074,37,1470,22,1528,8,94,0,103,34,1012,2906,3948,764,38919,3175,42858
Gold Coast - North,30903,128,12603,82,12816,35,2019,7,2063,109,5670,58,5835,23,1196,14,1238,26,954,20,994,0,104,3,114,20,802,1792,2613,328,23355,1972,25656,143,14073,89,14303,31,2084,10,2132,121,6682,66,6869,31,1354,20,1409,21,1248,18,1292,0,139,6,141,12,1164,1921,3099,363,26751,2136,29239,266,26683,173,27119,67,4105,20,4186,233,12350,121,12706,57,2551,36,2641,42,2200,39,2279,5,245,8,253,30,1967,3717,5713,693,50100,4105,54902
Gold Coast Hinterland,30904,34,3384,16,3440,5,559,4,575,36,1738,8,1783,3,300,3,307,5,223,0,229,0,10,0,9,0,160,611,775,88,6373,641,7105,35,3879,27,3937,7,520,5,535,21,1673,13,1709,5,264,0,269,0,188,3,187,0,12,0,12,15,266,557,845,90,6790,604,7481,63,7261,44,7372,15,1082,5,1105,57,3409,25,3487,15,564,3,580,5,407,3,418,0,18,0,15,20,429,1165,1612,180,13168,1247,14590
Beenleigh,31102,155,6060,45,6263,33,1239,15,1289,103,3919,37,4058,39,943,14,997,40,811,12,860,7,94,3,96,20,408,839,1266,395,13473,964,14829,165,6804,38,7006,48,1272,10,1334,135,4117,32,4284,46,920,10,978,28,890,12,932,3,99,3,101,20,445,936,1400,452,14540,1044,16036,326,12869,81,13269,85,2510,26,2620,241,8033,69,8347,89,1862,23,1976,67,1695,22,1790,12,191,4,202,41,852,1781,2669,850,28011,2008,30870
Browns Plains,31103,235,12456,76,12762,81,2256,17,2360,209,7031,65,7310,65,1578,20,1663,47,1323,20,1390,0,296,0,302,18,650,1727,2390,662,25591,1910,28163,316,14042,77,14428,80,2223,17,2319,212,6860,51,7127,53,1404,14,1470,34,1397,17,1450,3,365,4,376,24,711,1747,2489,725,27002,1928,29657,550,26495,148,27193,163,4487,30,4674,424,13899,113,14438,114,2979,33,3126,89,2716,39,2840,4,663,4,673,42,1355,3472,4876,1392,52600,3836,57821
Jimboomba,31104,149,6823,50,7023,32,1418,11,1457,128,4792,38,4953,29,979,13,1025,23,632,5,661,4,72,0,75,8,264,962,1237,379,14980,1077,16438,211,8138,40,8392,28,1277,11,1318,92,4192,29,4320,30,650,5,682,15,507,3,530,3,72,0,69,10,242,900,1144,386,15084,991,16457,360,14963,91,15419,66,2693,20,2780,217,8981,65,9273,59,1636,19,1709,40,1137,11,1187,6,140,0,150,19,506,1859,2388,766,30065,2069,32898
Robina,30908,98,10628,48,10769,16,1338,8,1365,46,3223,22,3291,7,583,3,596,8,439,10,456,3,59,0,65,4,532,1019,1555,174,16809,1107,18101,129,11967,65,12158,22,1516,13,1547,56,3903,39,4004,9,700,12,721,4,521,3,533,0,62,0,63,14,765,1165,1942,228,19438,1298,20972,223,22595,108,22922,42,2855,20,2916,102,7129,67,7290,13,1287,17,1319,12,964,15,989,3,124,3,128,16,1298,2188,3497,409,36251,2408,39068
Southport,30909,128,12894,60,13087,32,1572,21,1623,87,4233,36,4354,24,911,9,952,25,726,4,756,0,101,0,99,29,782,1669,2481,328,21217,1803,23347,180,13978,75,14237,28,1572,15,1613,92,4659,39,4795,22,933,15,966,20,873,21,922,0,138,4,137,16,817,1660,2487,361,22966,1837,25165,306,26877,141,27321,62,3143,37,3239,180,8893,76,9146,52,1843,25,1916,48,1600,28,1677,3,236,4,238,39,1596,3325,4966,692,44178,3639,48512
Surfers Paradise,30910,74,10019,80,10170,10,1155,3,1168,32,2562,19,2612,8,486,0,501,3,378,4,384,4,66,0,72,3,368,2259,2623,136,15029,2364,17525,57,9949,52,10059,13,1120,9,1142,33,2829,22,2892,4,540,0,552,0,383,3,385,4,73,3,81,4,441,2124,2567,122,15333,2213,17676,135,19966,134,20233,29,2268,11,2310,66,5394,44,5498,13,1035,4,1047,5,756,7,766,6,136,5,148,5,808,4377,5190,257,30363,4579,35203
Forest Lake - Oxley,31001,197,13666,69,13938,42,1486,5,1541,144,3874,35,4059,60,802,5,865,42,1301,15,1359,5,516,0,525,476,2894,1625,4994,973,24553,1757,27282,282,14463,83,14831,63,1343,16,1418,145,4131,27,4304,58,986,11,1057,53,1668,17,1741,9,748,9,760,155,1166,1712,3027,760,24500,1874,27139,474,28134,154,28762,104,2830,19,2961,293,8011,63,8368,122,1786,14,1922,100,2968,30,3100,11,1263,11,1290,625,4059,3332,8017,1734,49051,3633,54420
Ipswich Hinterland,31002,180,7555,74,7811,55,1561,27,1644,167,7186,64,7420,84,1729,24,1843,65,2213,44,2321,7,82,3,92,158,1233,1757,3148,715,21554,2004,24270,246,9286,92,9622,61,1570,22,1653,202,6631,69,6899,65,1323,18,1403,57,1838,31,1923,5,50,3,63,31,822,1744,2594,664,21509,1990,24161,419,16836,172,17427,117,3130,54,3301,362,13817,141,14316,151,3054,43,3246,126,4052,71,4250,15,132,11,158,191,2048,3503,5739,1379,43067,3990,48438
Ipswich Inner,31003,489,16151,105,16742,139,2715,23,2870,393,9494,75,9961,146,1998,29,2167,109,2333,39,2480,8,201,0,208,62,889,2301,3260,1349,33771,2568,37690,587,18417,120,19126,142,2424,17,2584,365,9799,90,10253,122,1784,21,1922,108,2671,31,2805,13,171,6,180,72,962,2327,3357,1397,36222,2608,40230,1075,34567,223,35863,277,5132,45,5451,757,19292,161,20209,268,3775,50,4093,211,5003,66,5284,19,369,3,393,133,1854,4631,6614,2740,69995,5175,77919
Springfield - Redbank,31004,312,14998,78,15382,89,2341,10,2437,187,5785,40,6005,78,1106,3,1187,49,952,5,1008,0,192,0,192,31,557,1732,2316,744,25924,1870,28535,422,16377,65,16860,102,2190,9,2298,235,5712,46,6001,53,994,9,1054,44,1044,12,1094,3,291,3,299,33,569,1742,2343,883,27178,1884,29953,730,31377,140,32246,190,4524,20,4738,420,11494,88,12006,131,2102,14,2246,99,1994,15,2106,5,480,4,490,60,1123,3471,4656,1626,53106,3753,58488
Beaudesert,31101,65,1661,17,1738,21,360,3,379,48,1461,15,1521,25,384,0,402,7,450,4,459,3,12,0,18,29,308,392,728,198,4630,432,5259,69,2033,22,2126,16,365,4,382,63,1500,8,1582,20,328,3,347,12,427,5,443,0,16,0,17,12,177,383,568,195,4847,425,5473,136,3699,34,3869,42,720,7,763,111,2963,30,3100,42,707,5,755,25,877,10,907,5,34,0,39,40,486,776,1297,392,9475,856,10730
Loganlea - Carbrook,31105,179,10781,53,11017,53,1678,10,1736,134,4947,33,5112,32,1066,8,1105,37,931,14,981,4,159,3,166,15,461,1278,1754,453,20030,1389,21871,226,11887,63,12172,43,1624,15,1685,136,5168,50,5355,46,964,13,1023,29,1073,15,1118,4,191,4,201,18,543,1343,1901,500,21454,1505,23458,409,22670,111,23185,93,3306,24,3418,273,10109,84,10469,77,2032,22,2130,60,2003,28,2097,6,353,6,368,32,1002,2617,3658,950,41480,2894,45327
Springwood - Kingston,31106,262,14134,93,14483,62,1843,21,1922,173,5629,49,5854,61,1253,17,1336,60,1642,23,1719,3,519,4,521,34,701,1603,2336,661,25712,1801,28175,296,14654,85,15037,101,1721,15,1832,227,5863,49,6133,74,1208,11,1289,70,1673,33,1773,5,575,11,590,43,772,1622,2440,814,26461,1821,29097,557,28784,177,29519,165,3556,36,3756,401,11490,94,11989,139,2458,25,2621,128,3316,55,3489,14,1095,13,1119,80,1473,3219,4768,1475,52172,3624,57264
Bowen Basin - North,31201,170,4385,39,4589,63,980,12,1058,176,3593,44,3813,58,678,13,751,52,707,6,764,0,41,3,54,21,368,2159,2553,542,10759,2272,13580,189,4861,47,5097,69,732,8,808,150,2666,29,2850,51,454,7,513,35,498,12,544,3,28,3,34,28,314,1290,1633,521,9567,1405,11490,353,9247,84,9690,126,1719,19,1862,329,6258,79,6666,103,1134,21,1263,89,1208,12,1313,7,72,7,86,53,683,3448,4189,1063,20325,3676,25069
Mackay,31202,580,16016,113,16712,163,3599,31,3788,484,12329,105,12924,138,2263,24,2424,135,2672,34,2836,20,119,3,141,76,1115,4177,5364,1598,38114,4480,44191,708,18777,110,19596,202,2978,26,3212,492,11164,100,11755,143,1859,18,2024,125,2381,40,2546,17,90,0,113,77,1212,2721,4015,1769,38471,3026,43265,1287,34799,224,36309,369,6579,59,6999,981,23494,208,24681,283,4121,41,4443,258,5058,74,5388,39,209,3,253,157,2331,6897,9382,3365,76588,7511,87459
Whitsunday,31203,77,3268,27,3373,18,815,8,841,44,2211,26,2277,12,400,12,416,8,300,0,303,3,12,0,18,11,212,1295,1517,164,7216,1368,8749,68,3673,29,3773,16,664,3,690,60,1773,15,1843,19,289,4,309,17,252,3,270,0,19,0,19,3,193,1060,1254,182,6860,1123,8161,143,6943,57,7139,32,1479,10,1527,106,3980,44,4123,32,684,13,728,18,549,5,575,3,32,0,30,13,406,2354,2772,345,14073,2489,16910
Bribie - Beachmere,31301,68,4462,42,4570,18,967,13,998,87,4185,33,4307,43,973,15,1031,32,1113,12,1151,4,38,3,47,9,578,713,1304,259,12311,831,13399,116,4953,44,5114,24,1062,12,1103,84,4619,46,4748,27,955,16,996,22,1052,16,1094,0,42,0,44,10,664,720,1391,284,13346,856,14485,182,9412,86,9682,47,2032,26,2101,168,8804,77,9050,66,1927,30,2022,53,2156,31,2242,4,81,3,92,15,1247,1433,2696,540,25656,1685,27887
Caboolture,31302,258,9071,62,9398,80,2027,23,2132,243,6670,55,6965,82,1562,22,1667,62,1382,24,1473,9,127,0,137,32,810,1475,2316,777,21640,1662,24084,363,10944,74,11389,112,1954,9,2080,282,6681,61,7021,96,1496,18,1613,49,1319,23,1385,12,106,4,117,45,947,1513,2506,963,23452,1703,26111,624,20020,139,20784,195,3986,33,4205,526,13345,114,13986,179,3061,38,3280,112,2701,42,2860,18,236,4,256,83,1758,2983,4819,1741,45094,3362,50199
Caboolture Hinterland,31303,34,1566,19,1622,11,350,3,362,28,1457,19,1504,10,322,0,333,5,399,7,414,0,17,0,13,229,912,402,1538,323,5015,447,5785,43,1873,11,1931,16,306,8,324,38,1333,9,1385,4,216,3,221,4,331,8,351,0,13,0,10,10,191,388,585,115,4262,424,4802,75,3437,33,3548,29,657,11,694,67,2791,26,2890,20,536,3,549,16,735,10,759,3,24,0,28,239,1099,782,2119,442,9269,869,10583
Narangba - Burpengary,31304,224,9580,63,9869,44,1814,19,1877,149,6178,52,6373,53,1292,8,1359,48,1167,18,1232,6,65,0,72,22,595,1105,1724,551,20686,1265,22504,276,10970,57,11309,64,1717,15,1792,188,6284,62,6538,53,1206,13,1279,30,1120,8,1157,3,55,0,58,27,750,1092,1877,649,22107,1258,24010,503,20547,126,21170,112,3529,31,3674,338,12458,117,12910,109,2499,25,2631,77,2281,28,2391,11,120,3,136,50,1352,2198,3604,1203,42790,2523,46519
Redcliffe,31305,205,9531,56,9790,36,1711,11,1754,136,5866,46,6049,39,1275,16,1334,26,1285,13,1332,5,95,4,104,33,824,1231,2090,483,20580,1382,22445,252,10986,76,11315,57,1731,19,1810,156,6588,51,6791,46,1325,15,1388,33,1584,20,1632,0,92,5,97,28,1116,1361,2507,579,23417,1542,25533,451,20511,135,21097,94,3442,21,3563,294,12455,99,12848,90,2600,35,2724,61,2867,32,2961,7,188,4,197,62,1943,2593,4596,1065,43999,2923,47981
The Hills District,31401,191,19465,91,19749,23,2023,11,2054,76,6046,45,6163,18,749,3,775,14,793,7,813,0,44,0,49,3,377,1134,1513,325,29496,1294,31114,219,20916,94,21230,24,1753,7,1791,73,6349,47,6470,11,673,10,688,7,899,12,921,0,60,0,57,4,400,1019,1427,347,31047,1188,32581,412,40377,191,40975,45,3780,14,3840,144,12393,90,12633,32,1418,12,1466,17,1687,23,1727,3,102,0,104,13,780,2153,2943,670,60539,2486,63693
North Lakes,31402,219,13399,51,13662,50,1991,10,2056,129,5227,23,5377,34,874,0,909,14,774,4,789,3,59,0,63,10,403,1254,1670,458,22736,1339,24530,269,15212,64,15544,63,1960,11,2030,119,5622,33,5779,31,900,3,938,18,874,14,906,0,62,3,62,24,446,1255,1732,532,25076,1384,26991,482,28613,112,29204,112,3954,16,4088,250,10846,57,11159,66,1777,11,1851,35,1647,16,1700,0,122,0,131,34,852,2512,3396,986,47816,2724,51519
Strathpine,31403,136,6747,33,6915,34,1051,12,1094,73,3378,24,3480,29,584,3,615,15,610,8,640,5,54,3,62,13,304,625,952,303,12735,713,13751,202,7343,38,7578,36,960,12,1012,96,3574,24,3685,32,546,0,577,18,681,9,704,5,56,0,60,10,419,581,1009,394,13570,660,14624,336,14085,68,14489,68,2013,15,2106,168,6955,48,7169,55,1126,4,1191,30,1293,25,1341,6,110,3,126,28,727,1205,1960,695,26307,1374,28373
Far North,31501,1687,2223,40,3941,541,441,13,986,1321,1679,35,3029,396,372,11,775,631,423,8,1064,62,29,4,99,1081,548,994,2622,5716,5711,1097,12528,1959,2403,42,4401,781,369,5,1153,1267,1125,25,2410,329,188,8,525,611,262,5,874,49,23,0,71,445,162,771,1374,5437,4530,854,10815,3645,4626,78,8348,1322,808,16,2147,2584,2798,53,5439,726,561,18,1299,1246,687,16,1944,115,55,4,175,1520,709,1766,3995,11154,10241,1947,23343
Outback - North,31502,484,3711,28,4217,237,691,4,927,668,2495,23,3193,220,430,13,651,304,520,15,830,46,33,3,79,161,197,1255,1612,2110,8069,1332,11514,651,4038,32,4724,297,487,3,785,786,1646,16,2448,178,273,7,459,247,311,6,565,46,22,0,70,183,174,1039,1393,2385,6951,1112,10448,1134,7749,61,8943,532,1181,10,1716,1450,4147,44,5640,399,705,18,1113,547,823,25,1398,96,59,4,150,346,369,2293,3009,4497,15026,2447,21966
Toowoomba,31701,577,24845,141,25561,129,3176,17,3323,449,13335,106,13895,159,2441,20,2618,124,3430,55,3608,14,285,11,310,64,1386,3520,4970,1515,48899,3875,54289,690,28444,148,29282,170,3281,21,3477,431,14311,124,14867,149,2191,25,2368,95,3726,49,3871,12,291,6,303,71,1763,3643,5481,1617,54011,4019,59650,1266,53289,287,54841,302,6463,42,6803,876,27647,233,28758,307,4639,43,4989,220,7156,107,7484,19,578,18,617,134,3150,7164,10453,3128,102912,7893,113933
Maryborough,31905,128,4886,43,5056,35,1146,7,1196,163,5751,80,5994,69,1333,21,1420,50,1708,26,1790,8,74,4,81,178,1127,1310,2618,636,16022,1494,18156,187,5553,54,5789,61,1200,16,1278,167,5963,58,6189,52,1240,12,1303,32,1414,32,1485,3,50,0,50,26,698,1190,1918,532,16119,1357,18005,318,10439,94,10843,97,2355,26,2477,328,11718,140,12183,121,2572,33,2722,89,3122,65,3270,7,121,5,131,212,1823,2499,4533,1172,32144,2856,36161
Adelaide City,40101,29,7460,31,7518,13,673,4,692,10,470,4,491,6,129,0,138,4,118,3,129,0,40,0,38,55,437,1046,1534,121,9333,1087,10543,34,7457,37,7530,15,630,4,651,18,455,9,477,7,114,3,116,4,119,0,119,0,29,0,29,10,222,841,1074,85,9026,894,10008,57,14916,74,15053,31,1307,7,1339,36,926,16,972,15,247,0,257,11,238,4,253,0,71,0,71,65,659,1884,2607,210,18353,1986,20549
Adelaide Hills,40102,67,14110,107,14281,28,4940,39,5004,35,3769,42,3846,11,954,18,984,6,741,8,761,0,43,0,47,7,519,1269,1795,153,25069,1493,26717,72,16262,107,16441,33,4475,39,4545,23,3556,42,3620,0,849,11,859,6,767,17,795,4,41,3,45,9,608,1224,1842,154,26552,1447,28159,144,30369,215,30723,64,9412,83,9557,64,7322,88,7464,13,1803,28,1843,16,1508,28,1555,4,83,4,92,18,1123,2495,3640,309,51623,2935,54872
Norwood - Payneham - St Peters,40105,28,9174,47,9249,9,1486,4,1501,11,1008,11,1028,3,257,3,267,4,599,4,609,6,98,0,109,0,232,627,863,62,12870,701,13628,42,10101,34,10177,17,1547,13,1578,4,1252,9,1261,3,329,5,336,3,918,12,939,0,169,3,174,4,314,660,978,76,14626,740,15439,75,19271,76,19421,23,3032,19,3075,20,2259,20,2294,5,590,10,605,8,1521,22,1551,4,266,6,280,7,546,1287,1844,136,27494,1439,29068
Unley,40107,40,10152,44,10242,11,1376,7,1393,7,872,3,878,3,232,7,239,3,354,4,364,0,71,0,71,0,249,662,910,61,13308,727,14096,28,11135,46,11214,8,1605,19,1638,9,1349,15,1373,4,320,0,324,7,633,12,646,0,97,0,95,0,360,687,1056,61,15498,789,16344,71,21285,90,21448,17,2981,30,3031,15,2215,19,2255,4,556,5,570,11,991,17,1019,0,162,0,167,0,615,1348,1962,120,28803,1516,30440
Gawler - Two Wells,40201,46,4750,26,4830,40,2844,23,2907,27,2525,23,2575,12,763,13,785,17,682,14,715,0,45,0,45,3,373,683,1062,147,11981,785,12917,70,5859,38,5962,49,2666,15,2731,33,2465,24,2518,21,697,7,725,13,695,11,722,3,41,0,47,3,356,659,1017,189,12779,760,13727,115,10610,66,10791,88,5509,40,5638,62,4990,43,5093,30,1465,18,1511,33,1379,22,1434,8,87,0,91,7,726,1346,2080,337,24762,1542,26646
Playford,40202,210,10917,83,11209,170,6539,56,6764,199,6388,61,6646,71,2214,18,2302,54,1801,32,1885,11,425,8,449,51,1098,1923,3070,765,29378,2184,32326,286,12548,89,12923,209,6040,47,6295,214,6366,73,6652,71,2068,33,2170,49,1874,27,1954,3,604,16,625,56,1176,1931,3158,891,30679,2205,33780,492,23470,170,24132,377,12578,105,13057,408,12752,134,13298,150,4277,51,4474,106,3675,60,3848,19,1032,17,1072,105,2271,3857,6229,1652,60059,4393,66108
Port Adelaide - East,40203,82,14351,71,14507,54,3447,14,3509,72,2931,32,3034,22,989,12,1022,25,1428,23,1476,3,708,8,722,137,1279,1124,2542,389,25141,1272,26807,137,14821,74,15033,88,2941,25,3052,85,3038,27,3139,35,1065,12,1111,19,1759,28,1806,8,582,5,594,78,951,1141,2178,441,25163,1316,26917,217,29175,151,29541,144,6385,35,6565,151,5969,50,6174,58,2050,24,2128,41,3189,48,3285,6,1295,12,1316,221,2235,2267,4720,830,50304,2593,53728
Salisbury,40204,222,22093,140,22452,159,9530,72,9763,171,8709,66,8943,76,2632,31,2741,66,2964,36,3063,3,1120,4,1129,47,1303,2176,3532,746,48355,2523,51627,287,23451,126,23860,186,8385,53,8633,215,8540,71,8828,56,2863,30,2955,39,3431,39,3513,6,1522,15,1540,45,1516,2107,3674,842,49711,2446,53003,504,45542,261,46311,351,17912,124,18390,390,17245,137,17777,132,5498,63,5691,109,6401,73,6577,8,2637,24,2670,95,2827,4289,7205,1590,98068,4973,104625
