sa3_name16,sa3_code16,pre_school_m,pre_school_f,pre_school_p,infants_primary_government_m,infants_primary_government_f,infants_primary_government_p,infants_primary_catholic_m,infants_primary_catholic_f,infants_primary_catholic_p,infnts_primry_othr_non_govt_m,infnts_primry_othr_non_govt_f,infnts_primry_othr_non_govt_p,infants_primary_tot_m,infants_primary_tot_f,infants_primary_tot_p,secondary_government_m,secondary_government_f,secondary_government_p,secondary_catholic_m,secondary_catholic_f,secondary_catholic_p,secondary_other_non_govt_m,secondary_other_non_govt_f,secondary_other_non_govt_p,secondary_tot_m,secondary_tot_f,secondary_tot_p,tec_furt_educ_inst_ft_15_24_m,tec_furt_educ_inst_ft_15_24_f,tec_furt_educ_inst_ft_15_24_p,tec_furt_educ_inst_ft_25_ov_m,tec_furt_educ_inst_ft_25_ov_f,tec_furt_educ_inst_ft_25_ov_p,tec_furt_educ_inst_pt_15_24_m,tec_furt_educ_inst_pt_15_24_f,tec_furt_educ_inst_pt_15_24_p,tec_furt_educ_inst_pt_25_ov_m,tec_furt_educ_inst_pt_25_ov_f,tec_furt_educ_inst_pt_25_ov_p,tec_furt_educ_inst_f_pt_ns_m,tec_furt_educ_inst_f_pt_ns_f,tec_furt_educ_inst_f_pt_ns_p,tec_furt_educ_inst_tot_m,tec_furt_educ_inst_tot_f,tec_furt_educ_inst_tot_p,uni_othr_tert_inst_ft_15_24_m,uni_othr_tert_inst_ft_15_24_f,uni_othr_tert_inst_ft_15_24_p,uni_othr_tert_inst_ft_25_ov_m,uni_othr_tert_inst_ft_25_ov_f,uni_othr_tert_inst_ft_25_ov_p,uni_othr_tert_inst_pt_15_24_m,uni_othr_tert_inst_pt_15_24_f,uni_othr_tert_inst_pt_15_24_p,uni_othr_tert_inst_pt_25_ov_m,uni_othr_tert_inst_pt_25_ov_f,uni_othr_tert_inst_pt_25_ov_p,uni_othr_tert_inst_f_pt_ns_m,uni_othr_tert_inst_f_pt_ns_f,uni_othr_tert_inst_f_pt_ns_p,uni_other_tert_instit_tot_m,uni_other_tert_instit_tot_f,uni_other_tert_instit_tot_p,othr_typ_educ_inst_ft_stud_m,othr_typ_educ_inst_ft_stud_f,othr_typ_educ_inst_ft_stud_p,othr_typ_educ_inst_pt_stud_m,othr_typ_educ_inst_pt_stud_f,othr_typ_educ_inst_pt_stud_p,oth_typ_ed_instit_f_pt_ns_m,oth_typ_ed_instit_f_pt_ns_f,oth_typ_ed_instit_f_pt_ns_p,other_type_educ_instit_tot_m,other_type_educ_instit_tot_f,other_type_educ_instit_tot_p,type_educanl_institution_ns_m,type_educanl_institution_ns_f,type_educanl_institution_ns_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p
Caloundra,31602,502,410,916,2503,2297,4801,481,419,901,514,524,1037,3489,3247,6736,1764,1563,3330,403,409,816,541,543,1082,2711,2518,5227,71,104,173,45,119,165,143,112,249,162,316,481,7,7,11,426,655,1082,455,675,1123,173,384,551,80,112,194,256,505,759,7,6,15,960,1675,2641,59,95,148,115,256,369,6,3,9,173,358,530,2229,2567,4792,478,580,1055,10974,12009,22983
Maroochy,31603,305,231,542,1360,1212,2574,235,270,499,348,329,679,1939,1809,3750,846,824,1671,236,213,448,329,320,652,1414,1360,2771,56,77,135,59,130,189,103,90,189,152,271,426,0,4,3,372,574,952,323,580,906,253,348,604,58,110,170,195,392,585,7,0,7,836,1435,2271,61,69,126,92,205,294,5,0,9,154,273,429,2433,2808,5242,1225,1403,2625,8680,9894,18580
Noosa,31605,255,226,488,1156,1015,2176,273,309,590,382,361,738,1811,1688,3505,650,671,1321,293,280,570,430,349,778,1364,1302,2663,21,26,43,29,48,77,61,44,104,76,169,237,3,4,3,185,284,468,169,212,379,76,178,250,27,53,78,107,272,387,0,0,0,381,723,1103,21,49,72,67,148,215,4,3,5,84,203,292,1661,1945,3611,896,1081,1975,6645,7456,14096
Sunshine Coast Hinterland,31606,241,251,491,1550,1433,2982,92,125,220,492,454,946,2137,2010,4147,1105,1030,2131,162,170,333,405,433,830,1670,1634,3300,36,54,91,33,67,96,88,67,157,94,189,286,3,0,3,254,381,638,217,318,536,104,220,327,35,66,106,117,344,461,0,5,5,479,958,1432,42,68,114,66,167,232,0,9,10,112,248,358,1496,1598,3091,165,289,453,6552,7372,13917
Nambour,31607,275,239,519,1398,1320,2719,231,227,460,313,320,629,1943,1865,3814,793,787,1583,220,218,439,322,321,641,1336,1324,2662,33,61,97,41,79,120,68,47,122,91,210,300,0,5,3,247,398,644,179,299,476,79,223,297,40,72,112,127,302,430,3,0,3,432,893,1318,31,54,81,69,135,203,3,3,9,106,191,292,1338,1380,2718,94,128,226,5766,6422,12188
Noosa Hinterland,31608,112,121,232,763,643,1404,55,69,124,192,198,390,1010,911,1917,486,436,925,101,102,204,189,200,382,775,736,1507,19,11,33,10,23,36,44,46,89,38,97,134,0,0,0,116,175,295,62,113,176,34,64,98,10,27,32,50,128,177,0,0,0,157,336,485,16,36,57,24,68,91,3,0,3,43,110,149,699,690,1392,71,90,157,2974,3167,6142
Charters Towers - Ayr - Ingham,31801,174,200,375,1217,1126,2335,478,439,916,155,154,306,1847,1718,3565,767,717,1485,582,492,1076,261,236,493,1609,1448,3056,17,22,40,9,34,39,75,56,124,37,152,185,3,3,4,137,262,400,34,94,128,27,56,82,24,44,66,69,141,210,0,0,0,152,333,487,15,25,43,33,95,124,0,3,6,50,121,172,2002,2019,4022,230,274,499,6204,6377,12581
Townsville,31802,1166,1027,2192,5081,4882,9963,2309,2371,4686,901,926,1828,8287,8182,16474,3310,3119,6426,1854,1918,3771,1167,1010,2172,6326,6045,12374,281,252,533,162,440,604,338,324,657,430,896,1326,20,13,29,1222,1924,3147,2172,3377,5554,759,1186,1943,227,374,606,865,1635,2495,15,20,38,4035,6597,10633,215,248,465,292,611,906,14,17,31,519,875,1402,8605,7577,16183,796,1104,1899,30973,33332,64297
Bundaberg,31901,452,395,846,2769,2549,5314,525,538,1062,425,381,805,3715,3464,7184,1842,1690,3529,596,600,1193,395,356,753,2835,2643,5481,68,98,163,58,167,222,113,155,266,137,358,489,7,14,19,378,787,1161,220,341,564,128,293,418,63,129,194,198,503,701,0,7,9,613,1274,1884,71,88,164,141,243,386,9,5,18,220,340,558,3317,3475,6795,485,670,1151,12019,13044,25056
Burnett,31902,207,211,421,1676,1536,3213,270,271,543,212,193,407,2163,1998,4164,1255,1185,2437,140,140,276,78,71,150,1472,1389,2868,25,47,70,21,50,65,84,95,174,71,232,311,3,7,12,201,428,635,21,80,106,32,62,95,14,34,46,80,230,308,0,0,3,147,409,553,30,19,49,62,112,174,3,5,6,96,137,236,2559,2317,4872,215,190,404,7072,7085,14155
Gympie - Cooloola,31903,270,220,486,1639,1482,3120,206,181,388,221,229,449,2067,1886,3957,1192,1105,2297,192,177,366,212,236,455,1594,1520,3112,33,45,76,37,73,105,64,84,145,70,226,289,3,0,3,201,424,619,74,154,227,53,140,191,22,39,64,60,231,286,0,4,4,202,567,770,56,60,117,73,149,223,9,0,10,141,209,349,2189,2283,4469,235,306,537,6892,7411,14305
Hervey Bay,31904,330,263,592,1509,1467,2974,382,404,784,365,305,670,2259,2175,4433,1083,1040,2120,293,298,585,340,309,646,1716,1642,3357,35,54,95,43,97,141,75,93,172,102,239,337,9,3,16,265,496,759,68,200,268,78,206,279,27,58,89,130,359,488,0,7,7,299,831,1128,62,88,148,74,154,224,0,4,3,135,246,378,2390,2626,5014,452,582,1033,7844,8851,16699
Sunnybank,30306,303,306,603,1407,1436,2846,206,195,394,229,232,462,1845,1855,3698,890,888,1774,268,251,517,240,278,524,1397,1414,2813,200,137,339,228,272,499,61,43,103,128,197,320,3,3,4,622,652,1268,1455,1362,2820,605,536,1143,75,80,160,188,233,422,4,12,18,2331,2227,4557,202,212,421,147,221,368,4,5,6,355,442,793,1156,1198,2354,573,803,1378,8571,8890,17467
Centenary,30401,256,210,471,1089,1023,2107,240,208,444,241,222,464,1571,1448,3012,667,621,1286,214,254,464,307,286,591,1188,1156,2337,37,45,80,31,49,78,46,27,67,81,121,203,0,0,0,186,246,428,560,646,1206,112,171,282,58,61,121,190,247,440,0,3,9,921,1133,2049,23,25,43,42,86,124,0,0,3,63,108,175,366,365,728,138,238,376,4687,4895,9581
Kenmore - Brookfield - Moggill,30402,371,322,691,1803,1730,3532,301,285,584,314,230,546,2415,2246,4663,942,826,1762,403,477,876,746,520,1265,2086,1817,3901,52,48,105,27,70,97,61,43,97,77,132,210,0,0,0,220,287,511,1038,1066,2099,213,266,475,101,132,237,286,412,699,0,9,11,1641,1885,3528,28,32,62,66,123,194,3,3,6,95,161,260,665,821,1489,228,380,607,7718,7926,15644
Sherwood - Indooroopilly,30403,297,284,588,1284,1172,2458,301,279,588,216,192,410,1810,1644,3456,478,471,949,286,288,568,630,580,1209,1389,1338,2728,77,69,148,56,88,138,47,50,96,80,124,206,0,3,3,260,334,594,4009,4626,8633,1208,1110,2311,165,186,348,379,490,867,12,19,32,5769,6421,12191,75,77,150,95,137,238,3,0,6,167,221,389,1106,1249,2358,647,912,1559,11446,12404,23853
The Gap - Enoggera,30404,396,365,762,1640,1468,3110,740,683,1425,125,124,245,2505,2273,4780,1057,897,1952,507,558,1061,233,212,448,1797,1664,3468,56,97,148,43,73,122,80,66,149,138,212,350,7,0,6,326,444,771,659,779,1435,181,271,453,89,111,206,341,502,843,3,7,7,1276,1669,2950,39,76,116,62,130,193,0,3,3,101,205,311,829,988,1817,159,212,369,7389,7825,15213
Brisbane Inner,30501,184,190,373,771,705,1484,217,225,440,69,106,176,1061,1039,2095,672,592,1267,168,148,316,289,303,590,1124,1044,2168,197,217,411,328,420,752,88,79,164,265,319,578,0,3,7,885,1031,1917,2020,2453,4475,1250,1147,2394,202,221,426,692,859,1555,11,14,18,4179,4689,8864,491,628,1118,383,528,913,5,3,4,877,1161,2031,5489,4852,10343,3565,3701,7268,17361,17710,35068
Brisbane Inner - East,30502,281,270,545,862,869,1726,432,478,904,247,192,437,1534,1530,3067,248,204,451,389,465,855,573,374,943,1210,1041,2253,65,57,120,53,108,160,62,51,107,115,150,266,4,3,7,298,363,663,706,762,1467,234,321,550,93,131,228,360,530,883,3,0,3,1391,1737,3134,53,70,125,81,145,223,3,3,8,131,216,347,1063,1126,2189,191,273,464,6106,6557,12661
Brisbane Inner - North,30503,472,431,906,1756,1631,3384,712,738,1451,202,264,466,2677,2631,5310,631,568,1204,759,681,1437,705,973,1679,2101,2227,4326,156,141,303,143,233,379,114,103,220,223,300,524,0,7,9,639,784,1424,2244,2879,5123,1058,1115,2166,222,311,536,776,1024,1797,8,7,17,4300,5339,9644,150,183,336,175,311,488,3,3,9,329,496,827,3378,3455,6835,662,871,1531,14556,16245,30802
Brisbane Inner - West,30504,394,324,713,1401,1435,2838,559,516,1069,177,140,322,2135,2090,4225,366,357,724,640,789,1426,665,486,1145,1666,1633,3297,91,75,163,65,114,184,72,56,123,127,142,267,4,0,4,355,390,744,1871,2316,4191,677,686,1360,200,223,425,517,633,1146,5,11,19,3272,3865,7136,61,90,148,96,164,263,3,0,5,163,256,416,1574,1556,3132,359,521,882,9916,10635,20552
Cairns - North,30601,353,303,652,1519,1418,2941,686,687,1374,378,326,696,2584,2433,5013,1123,1009,2130,563,546,1107,260,285,550,1947,1837,3788,41,36,77,41,110,150,76,83,155,136,257,398,3,4,6,298,486,781,356,502,858,192,368,560,46,76,126,244,542,789,3,8,9,841,1494,2335,32,62,94,77,175,250,0,4,3,110,243,350,2152,2282,4434,915,1206,2121,9195,10285,19478
Cairns - South,30602,556,533,1094,2788,2514,5305,1345,1413,2759,320,249,572,4453,4179,8633,2151,2063,4213,939,855,1795,227,281,506,3314,3194,6511,112,150,256,161,333,497,166,178,343,256,506,765,15,14,24,709,1182,1889,315,571,885,251,458,710,80,160,237,332,735,1067,6,14,23,981,1939,2926,132,161,299,205,396,604,10,5,13,345,567,917,6767,6816,13583,3493,4589,8081,20626,23001,43630
Innisfail - Cassowary Coast,30603,152,142,292,1214,1038,2256,313,300,613,34,44,79,1557,1379,2939,784,766,1546,248,239,478,25,22,48,1052,1025,2075,11,13,30,22,52,72,37,55,94,44,109,149,3,3,8,118,229,350,31,61,97,25,66,91,15,21,37,57,129,186,0,0,0,129,281,410,23,31,51,33,83,119,0,0,4,55,116,176,1966,1818,3785,589,530,1116,5617,5518,11139
Port Douglas - Daintree,30604,84,77,158,421,299,720,74,101,174,15,9,20,510,405,911,237,235,477,27,24,50,12,18,26,270,275,550,4,9,16,8,17,28,8,13,20,22,54,74,3,0,3,51,83,130,14,25,42,15,41,59,3,11,15,34,68,95,0,0,3,70,143,216,10,12,20,13,46,61,3,0,0,26,62,86,1402,1582,2981,1125,1369,2497,3539,3997,7534
Tablelands (East) - Kuranda,30605,187,172,358,1291,1137,2432,336,348,689,103,128,230,1737,1614,3350,930,904,1828,269,299,571,56,39,95,1249,1238,2490,15,30,43,13,48,58,33,60,93,57,129,193,3,3,6,116,271,389,47,101,140,33,86,119,12,27,45,63,208,270,0,0,3,151,428,578,24,40,69,48,123,164,0,4,3,71,164,238,2080,2109,4191,432,428,862,6032,6423,12454
Darling Downs (West) - Maranoa,30701,248,256,499,1462,1291,2747,544,516,1063,108,86,198,2115,1894,4012,940,919,1863,173,142,316,41,49,95,1153,1108,2267,19,29,47,11,33,45,79,73,153,117,211,324,0,3,3,233,342,575,29,68,94,30,67,94,13,65,76,97,224,323,0,0,0,165,422,589,18,31,48,50,107,164,0,0,6,73,143,219,4151,2793,6949,134,139,273,8267,7104,15371
Darling Downs - East,30702,249,258,513,1457,1442,2902,348,376,719,154,143,302,1961,1959,3920,1062,974,2033,201,168,366,160,151,318,1424,1296,2717,34,34,69,16,47,64,80,79,160,75,166,242,6,0,7,206,331,538,61,115,169,24,70,95,27,58,86,69,189,258,6,4,4,185,430,619,27,38,71,53,131,189,3,3,5,87,174,261,1848,1801,3653,83,72,152,6050,6327,12379
Granite Belt,30703,190,156,344,1261,1106,2367,332,370,707,193,162,353,1791,1639,3429,862,775,1641,326,291,616,241,200,444,1436,1263,2702,28,42,67,18,63,75,61,75,131,59,161,222,8,4,9,168,347,507,48,91,141,16,72,86,18,29,45,80,188,270,0,6,9,171,386,563,24,29,53,34,102,137,0,0,8,58,137,194,1435,1457,2897,100,126,230,5348,5515,10857
Central Highlands (Qld),30801,225,198,425,1159,1055,2211,302,326,625,85,86,168,1542,1467,3012,550,528,1081,296,220,518,52,33,89,898,788,1688,28,23,51,13,15,26,62,52,109,78,160,238,0,4,4,174,250,426,17,44,60,12,38,53,25,35,61,103,197,300,0,0,0,159,319,475,13,35,43,44,99,142,0,0,0,60,132,195,3431,1754,5182,380,109,484,6860,5018,11884
Rockhampton,30803,530,568,1103,3368,3000,6362,1374,1265,2640,520,578,1095,5260,4839,10099,1786,1649,3435,1701,1477,3180,711,856,1564,4202,3981,8182,85,88,175,55,110,168,257,257,510,247,500,748,8,5,11,643,964,1606,476,758,1231,220,420,645,156,301,464,408,818,1229,3,13,19,1268,2319,3582,95,108,206,175,393,569,8,3,8,278,514,784,5152,4698,9847,317,395,711,17643,18270,35918
Biloela,30804,84,86,172,531,444,975,115,136,251,86,85,165,730,664,1391,365,351,718,3,10,10,32,38,67,401,396,792,4,3,10,5,3,9,29,27,55,42,80,117,4,0,4,87,110,195,5,23,27,6,14,18,12,28,40,40,84,121,0,0,0,67,147,213,3,4,10,21,33,45,0,3,6,21,37,59,1016,656,1670,44,36,77,2443,2130,4575
Gladstone,30805,397,376,767,2331,2253,4588,532,506,1036,216,199,412,3082,2957,6037,1749,1692,3449,245,243,483,145,139,286,2143,2073,4217,37,35,68,16,64,79,133,150,289,108,352,458,0,4,7,299,603,907,87,156,244,64,136,200,59,111,170,196,458,655,0,5,3,403,868,1266,40,53,89,98,241,336,3,8,14,142,293,434,2699,2339,5031,259,301,562,9415,9810,19221
Broadbeach - Burleigh,30901,366,374,742,1252,1192,2446,343,432,773,484,440,925,2081,2064,4141,760,725,1480,309,274,585,458,428,886,1528,1431,2957,68,85,149,94,163,261,106,82,195,203,256,460,4,5,5,475,594,1074,508,667,1172,268,347,610,75,102,178,226,447,674,3,4,13,1076,1567,2647,78,96,175,153,238,391,0,4,3,229,341,566,3054,3431,6489,1493,1712,3203,10300,11525,21828
Coolangatta,30902,321,336,651,1452,1309,2762,280,283,565,276,248,523,2013,1840,3852,1198,987,2189,147,139,284,299,298,600,1642,1430,3073,64,55,115,59,95,148,128,75,206,169,214,381,0,3,8,424,433,853,328,527,854,152,239,391,35,104,142,148,336,484,5,4,9,663,1217,1880,48,66,115,90,186,269,8,3,4,141,252,396,2162,2415,4581,532,629,1160,7891,8550,16441
Gold Coast - North,30903,393,341,736,1406,1308,2720,356,338,688,323,339,665,2089,1987,4070,921,888,1811,195,221,412,399,358,763,1515,1470,2989,92,137,229,77,189,258,113,90,210,161,287,444,12,4,15,454,707,1161,715,875,1589,285,328,617,77,106,181,169,303,476,7,6,12,1260,1627,2879,78,83,154,97,221,324,3,3,8,178,304,484,2520,2898,5416,482,586,1065,8893,9915,18805
Gold Coast Hinterland,30904,96,102,203,631,589,1219,33,34,64,120,118,241,786,736,1522,454,484,934,32,33,67,128,116,249,619,633,1252,14,27,43,19,26,47,51,24,76,37,78,115,3,0,3,127,155,286,79,116,204,30,62,91,5,15,25,99,120,213,0,3,3,219,314,538,18,13,29,22,64,86,0,0,3,40,77,124,1031,996,2026,92,109,202,3016,3134,6149
Robina,30908,339,344,687,1362,1242,2608,218,221,445,365,357,720,1950,1825,3771,985,964,1948,207,206,409,449,436,883,1642,1607,3243,72,84,159,50,114,169,99,82,182,116,210,324,0,0,3,339,499,836,937,1062,1998,329,356,687,76,128,207,184,316,494,12,11,20,1532,1865,3406,66,85,151,83,168,252,0,0,0,154,251,401,1541,1995,3542,348,388,736,7848,8774,16616
Southport,30909,338,312,655,1251,1135,2386,316,311,629,287,300,589,1852,1748,3602,982,939,1928,250,194,441,406,462,866,1641,1594,3230,139,149,289,152,245,398,127,89,217,155,299,449,5,16,21,587,796,1377,1404,1711,3115,564,537,1104,89,119,212,219,309,532,7,5,16,2296,2686,4982,107,175,277,114,202,314,3,5,9,216,385,602,2677,2476,5150,642,769,1405,10243,10758,21000
Surfers Paradise,30910,240,207,448,598,575,1176,218,223,438,314,316,627,1130,1109,2239,472,459,937,124,122,242,382,377,753,981,953,1935,90,117,203,132,212,350,74,64,139,161,204,362,0,3,5,466,593,1065,554,647,1200,330,335,663,61,73,137,165,244,411,5,14,16,1117,1319,2432,162,206,370,202,286,491,6,0,6,366,495,864,4275,4373,8652,3245,4051,7301,11821,13105,24926
Forest Lake - Oxley,31001,475,419,899,2298,2189,4487,501,529,1023,248,283,530,3043,3007,6046,1966,1793,3763,285,294,572,325,320,641,2571,2405,4973,178,207,388,189,313,500,90,123,209,188,322,512,6,10,19,649,982,1630,873,957,1829,269,365,637,74,107,183,260,385,647,3,9,12,1484,1832,3318,120,156,278,157,240,391,13,16,25,288,406,695,5341,3374,8714,279,413,696,14127,12840,26968
Ipswich Hinterland,31002,314,288,594,2254,2030,4282,371,396,768,225,217,440,2852,2640,5493,1450,1379,2828,193,125,317,450,456,910,2088,1962,4047,60,86,143,24,86,114,126,100,222,107,250,363,0,4,9,312,534,847,187,390,579,60,161,217,49,78,122,108,309,425,3,3,6,403,940,1344,56,63,116,69,185,262,0,8,7,127,256,385,3177,2717,5898,153,121,274,9424,9455,18882
Ipswich Inner,31003,724,647,1373,3698,3454,7147,788,781,1572,550,605,1158,5036,4835,9869,1951,1880,3828,906,743,1649,780,726,1513,3635,3353,6992,135,227,364,84,273,359,197,227,426,257,517,774,5,5,9,679,1250,1929,628,855,1480,226,447,674,100,179,279,382,679,1066,3,6,7,1342,2167,3512,126,186,305,184,387,576,3,7,10,312,577,890,3456,3604,7061,148,213,369,15334,16654,31988
Springfield - Redbank,31004,737,662,1402,3506,3232,6738,643,649,1288,643,630,1267,4789,4507,9297,2057,2027,4080,619,551,1170,465,481,948,3141,3059,6201,177,199,378,120,270,392,134,173,310,222,500,719,5,11,12,664,1149,1814,565,757,1319,256,397,652,89,165,255,352,561,916,6,4,15,1273,1889,3157,113,160,274,152,355,512,5,4,17,273,523,797,2710,2823,5527,252,360,616,13842,14980,28815
Beaudesert,31101,73,68,137,477,461,944,134,131,262,47,51,96,656,651,1308,326,345,666,26,27,47,62,93,156,411,466,875,9,21,35,9,24,38,25,22,52,22,63,86,0,0,0,64,143,211,26,89,117,14,40,56,13,13,22,17,51,69,0,0,0,71,193,263,8,13,23,16,33,46,5,0,5,23,54,75,689,559,1252,28,38,67,2027,2161,4183
Beenleigh,31102,275,271,545,1540,1488,3032,141,162,300,219,190,410,1898,1847,3743,913,841,1752,215,220,436,188,179,359,1310,1238,2547,56,99,154,29,144,170,81,80,162,100,172,278,8,5,11,274,502,775,146,245,386,66,138,202,33,54,87,81,169,253,0,0,0,326,601,926,53,99,154,65,154,223,0,3,3,119,264,384,1335,1455,2793,79,108,192,5617,6289,11904
Browns Plains,31103,557,551,1111,3247,2968,6214,514,511,1027,397,432,827,4160,3913,8074,2137,2018,4158,418,401,821,359,382,741,2910,2805,5719,150,200,351,95,226,322,169,145,313,166,348,512,3,13,14,587,929,1517,477,664,1141,129,268,394,60,102,157,150,291,434,3,9,13,810,1329,2141,81,138,219,116,333,447,5,8,10,198,478,672,2808,2940,5752,176,306,481,12205,13257,25463
Jimboomba,31104,334,310,643,1773,1695,3471,394,386,784,350,367,716,2519,2451,4967,1083,1057,2136,395,439,837,400,348,750,1886,1837,3727,60,78,141,18,72,92,114,103,214,86,214,309,6,0,5,282,474,754,198,341,542,50,101,152,35,59,96,95,265,361,0,0,0,382,770,1148,25,54,82,61,161,221,0,0,0,87,216,307,1409,1379,2786,94,158,259,6999,7602,14601
Loganlea - Carbrook,31105,426,392,820,1851,1680,3531,428,381,810,492,501,989,2773,2564,5334,1094,1012,2103,416,400,815,480,499,976,1991,1906,3896,118,139,257,78,151,230,155,98,258,153,247,403,3,9,15,512,645,1163,411,555,968,148,235,387,64,90,149,159,320,480,3,3,4,790,1203,1993,63,82,145,97,208,304,3,8,8,156,301,458,1866,2092,3958,173,218,387,8685,9321,18004
Springwood - Kingston,31106,523,497,1024,2617,2550,5166,471,467,936,505,503,1010,3588,3526,7111,1931,1964,3891,298,232,532,522,490,1007,2749,2686,5441,175,228,402,205,326,530,127,131,257,231,342,575,16,5,17,744,1031,1775,602,655,1258,270,294,564,69,100,166,249,379,627,6,5,13,1196,1431,2627,146,199,347,137,302,437,4,3,11,295,502,797,2622,2711,5325,257,353,607,11973,12741,24718
Bowen Basin - North,31201,231,207,433,1512,1443,2958,93,95,182,22,24,46,1622,1563,3191,842,753,1593,26,29,58,11,18,34,886,805,1687,16,17,37,17,26,38,53,37,91,91,191,278,4,0,3,179,276,454,16,39,53,18,64,89,9,39,46,156,188,342,3,0,3,200,335,534,11,15,28,49,102,156,0,0,0,65,118,184,6351,2411,8759,264,326,594,9793,6040,15834
Mackay,31202,685,621,1309,3739,3412,7149,1239,1270,2506,393,359,749,5378,5036,10409,2452,2378,4824,1099,1079,2180,382,394,777,3929,3846,7778,66,76,139,54,104,157,226,211,439,195,524,713,10,5,16,545,924,1463,280,567,842,112,350,463,120,245,360,360,787,1145,3,8,12,876,1946,2826,54,75,131,161,386,547,4,12,12,216,475,692,4223,3999,8223,268,351,621,16121,17189,33310
Whitsunday,31203,136,144,281,584,538,1125,210,213,424,96,78,176,898,831,1727,394,380,774,117,97,214,51,71,123,561,547,1107,12,26,38,17,20,41,46,41,87,50,138,186,0,0,5,128,224,345,26,43,74,23,46,73,7,25,33,41,122,165,0,4,4,99,244,340,13,18,28,31,97,135,0,0,4,45,120,163,2161,2044,4205,1206,1620,2829,5237,5770,10998
Bribie - Beachmere,31301,128,136,259,910,808,1715,64,67,129,152,143,290,1121,1017,2131,593,559,1154,118,108,227,71,89,157,785,759,1540,23,28,52,16,70,92,36,49,82,38,124,160,0,3,3,116,274,389,79,139,220,27,73,107,15,29,48,41,126,162,0,3,3,164,371,535,21,25,47,52,104,162,6,5,8,80,141,214,1070,1300,2369,93,132,227,3550,4124,7674
Caboolture,31302,479,450,929,2535,2348,4879,368,399,765,447,425,872,3345,3172,6520,1599,1601,3204,347,344,684,275,249,531,2216,2199,4413,98,182,276,62,211,272,125,136,266,113,337,446,3,9,11,406,872,1271,261,460,718,114,257,374,49,74,125,130,292,421,3,3,9,551,1083,1636,100,168,261,135,301,434,8,3,14,240,471,710,2510,2824,5334,279,498,778,10032,11565,21592
Caboolture Hinterland,31303,59,60,122,451,415,866,27,14,38,44,49,90,523,480,999,276,304,582,39,43,79,46,41,88,359,389,753,6,16,23,8,20,26,15,12,28,19,42,60,0,0,3,44,85,130,25,56,76,4,27,38,5,9,10,20,56,76,0,0,0,56,148,199,6,5,19,9,42,50,0,0,3,24,46,68,1570,604,2176,30,34,70,2675,1849,4518
Narangba - Burpengary,31304,403,351,754,2581,2336,4916,376,366,738,368,362,731,3326,3063,6388,1790,1748,3535,341,358,702,401,365,769,2540,2470,5015,76,116,191,43,123,171,126,105,231,142,279,423,5,4,15,400,630,1028,363,536,895,63,189,248,48,75,128,151,325,476,0,4,6,623,1129,1753,72,84,150,106,239,343,3,3,7,180,327,504,1696,1974,3669,103,156,260,9272,10100,19371
Redcliffe,31305,277,258,541,1470,1329,2794,482,477,958,345,352,693,2289,2154,4448,1084,953,2037,378,324,701,308,364,664,1766,1635,3401,71,93,157,41,121,156,110,76,184,109,253,359,0,3,8,328,534,866,286,390,672,88,198,291,37,70,112,142,324,467,0,5,3,562,988,1544,44,79,122,107,196,302,4,5,9,152,288,434,2030,2414,4448,365,503,865,7763,8779,16547
The Hills District,31401,669,604,1277,3052,2835,5881,922,903,1819,711,721,1435,4683,4452,9139,1780,1585,3362,902,849,1752,891,889,1776,3569,3321,6891,119,127,239,46,108,157,209,117,322,182,355,537,3,3,7,556,709,1269,982,1260,2238,184,315,498,120,161,279,411,683,1092,3,8,20,1697,2423,4122,64,75,138,134,284,417,4,3,4,194,363,560,1355,1463,2812,198,262,457,12919,13609,26527
North Lakes,31402,651,554,1202,2926,2735,5662,440,426,867,562,571,1131,3930,3730,7657,1625,1683,3309,295,278,570,448,456,901,2362,2423,4784,108,119,228,60,181,242,136,144,274,174,378,551,3,10,10,485,822,1308,410,624,1030,161,314,476,64,146,209,259,470,733,3,0,3,898,1551,2454,79,109,185,107,279,385,3,4,4,182,387,573,1708,1896,3609,180,323,502,10400,11691,22088
Strathpine,31403,258,251,510,1351,1191,2545,246,276,527,173,178,353,1776,1653,3428,864,776,1639,176,137,316,172,190,357,1209,1106,2314,66,80,144,46,93,142,89,67,153,106,191,291,4,0,4,307,429,736,223,311,539,77,144,217,29,54,84,125,254,384,0,3,5,462,767,1229,46,57,110,66,149,212,0,0,4,115,204,318,966,1012,1973,78,97,172,5165,5512,10676
Far North,31501,256,248,502,1595,1605,3199,141,125,263,95,90,183,1828,1822,3650,723,746,1469,82,79,161,45,37,84,846,868,1716,13,26,36,12,44,55,32,34,67,61,117,176,4,9,8,121,225,346,9,37,45,17,65,82,4,25,26,81,124,202,0,3,3,106,246,353,26,27,54,32,62,93,0,0,0,63,86,148,3405,1959,5366,318,295,613,6947,5748,12700
Outback - North,31502,219,212,430,1136,1055,2185,263,297,557,51,40,94,1441,1397,2838,476,475,949,244,217,458,25,26,54,739,720,1460,22,15,29,18,19,39,42,45,86,85,165,248,3,0,3,166,245,414,15,39,56,20,55,72,7,38,43,146,232,379,0,0,3,191,363,548,10,16,28,40,88,125,4,0,8,58,99,160,2607,2034,4643,100,154,254,5522,5222,10737
